"id","description","roomId","xCoordinate","yCoordinate"
16,Depan lift,147,553.165699,267.961259
1,Access Point for scanning APs,1,0.0,0.0
2,Access Point Fake untuk Android,1,288.056992,766.988323
31,Lab Riset 2,112,149.997679,312.000189
32,Lab Riset 6,129,936.170301,169.892518
33,Lab Riset 1,111,152.009707,131.891512
34,Lab Riset 3,113,178.015194,546.917618
35,R. TOPED,114,496.082302,443.911139
36,Lorong R. Dosen no 5 s/d 8,144,744.016887,544.0
37,Lorong R. Dosen no 9 s/d 16,144,993.187184,543.917429
38,R. Rapat besar no 17,138,1210.232977,544.917492
39,R. Rapat besar no 18,139,1448.283203,545.917555
40,Lab Riset 7,128,1208.100239,170.889499
41,Lab Riset 8,127,1445.150254,169.889436
17,Lab Riset 1,150,169.27124,182.923147
18,Lab Tugas Akhir,151,150.261214,537.811323
19,Belakang,156,922.001055,692.00315
20,Depan,156,962.010554,431.99937
25,Meja dosen,157,1168.008443,692.00252
26,Dekat pintu,157,1234.348813,428.908342
27,Belakang,158,1400.004222,694.00252
28,Depan,158,1467.027968,427.775105
29,Belakang,159,1547.070185,75.885984
30,Depan,159,1402.994195,263.826765
23,Belakang,160,1309.996834,69.99811
24,Depan,160,1179.992612,268.00126
21,Depan,161,987.998945,264.00252
22,Belakang,161,1079.997889,65.99874
